degree,model,n_features,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,train_mape,test_mape
3,Ridge_1,55,0.8731166136115498,0.7801117270615692,399129893.0783601,511955906.28797674,311438617.09114236,407481991.69920886,9.685710498686683,13.601504886503966
3,Lasso_1,55,0.8735021003494403,0.7784378035606766,398523129.9575531,513900871.87449175,311024119.92307293,408299272.9298489,9.68677713993165,13.642653772166819
3,Ridge_10,55,0.8629000726333423,0.7794856549917294,414887631.150016,512684215.8620782,323029145.82512826,407241315.80129087,10.087415743455926,13.708487197659148
3,Lasso_10,55,0.8735021003494214,0.7784378414638204,398523129.9575828,513900827.9174003,311024115.3284545,408299243.5066001,9.686776932093007,13.642652188539628
3,Ridge_100,55,0.8277284674617607,0.7833991397662523,465070330.08295774,508114527.65493256,365650757.69206893,412348614.44450736,11.712417736198558,14.025771403724796
3,Lasso_100,55,0.8735021003475436,0.7784382201436532,398523129.9605409,513900388.75404316,311024069.346008,408298949.38617504,9.68677485474429,13.642636355523836
4,Linear,125,0.9218498212155464,0.09392976855985369,313239746.0454929,1039231864.9575201,241681333.65803954,691076262.9317118,7.621815940580441,25.747846695058175
4,Ridge_0.001,125,0.9218498166671939,0.0943151612715093,313239755.1607936,1039010825.2573674,241679080.31161398,690952875.5992917,7.621689582961522,25.74291476200375
4,Lasso_0.001,125,0.9218498212155464,0.09392976899520422,313239746.0454929,1039231864.707854,241681333.6571983,691076262.79238,7.621815940476341,25.74784668959017
4,Ridge_0.01,125,0.9218493711044773,0.09775860312507256,313240648.10660225,1037033768.5648087,241658847.8166073,689848276.3434005,7.620558036008504,25.69876749376817
4,Lasso_0.01,125,0.9218498212155464,0.09392977291279725,313239746.0454929,1039231862.4611808,241681333.64963946,691076261.5385104,7.621815939538873,25.74784664038221
4,Ridge_0.1,125,0.9218091061185101,0.12988978683386898,313321332.0775332,1018400624.0071253,241461145.39873937,679390193.6172296,7.609772632240891,25.280970142729593
4,Lasso_0.1,125,0.9218498212155464,0.0939298120889922,313239746.04549295,1039231839.9942962,241681333.5740663,691076248.9997537,7.621815930166062,25.747846148301512
4,Ridge_1,125,0.9198962863699506,0.32085014486931895,317130637.4710488,899734409.0722073,241576021.7620511,618933875.907337,7.587253969674701,22.749686393071965
4,Lasso_1,125,0.9218498212155423,0.0939302038509573,313239746.0455011,1039231615.3254144,241681332.81828406,691076123.6121482,7.6218158364367765,25.747841227493208
4,Ridge_10,125,0.9030127433167237,0.6145099037126288,348954829.19944805,677857079.3615187,267758934.8789663,515892261.86592585,8.341944164542294,18.056169026643587
4,Lasso_10,125,0.9218498212151376,0.09393412146259728,313239746.04631215,1039229368.6385195,241681325.2604964,691074869.7361403,7.621814899144519,25.74779201940877
4,Ridge_100,125,0.8595639003846073,0.7374414857091859,419905201.89017195,559428485.8670108,327885820.4213996,442479034.55245817,10.503055700676045,14.836360551133366
4,Lasso_100,125,0.9218498211746651,0.09397329679372979,313239746.1274227,1039206901.9527751,241681249.68262836,691062330.9758108,7.62180552622206,25.747299938557695
5,Linear,251,1.0,-17.329317748625165,1.246697251798376e-05,4674171828.725593,9.331816718691872e-06,2545767314.9089227,3.266709595582998e-13,86.69350850544456
5,Ridge_0.001,251,0.9999990448406656,-17.044148902864293,1095089.9350251313,4637668741.750194,515021.73572076106,2524689810.091879,0.014541043272356453,85.93405738798975
5,Lasso_0.001,251,0.9998000352359453,-13.668145420553788,15844867.534402948,4181375084.0730853,6420931.840691076,2456944020.1299167,0.1972456713442672,89.45495390025603
5,Ridge_0.01,251,0.9999249395473249,-15.002028367876871,9707724.99345513,4367360497.047953,4679222.793689563,2370694982.9349093,0.1323285005312838,80.29705223001291
5,Lasso_0.01,251,0.9998000352220069,-13.668144768934335,15844868.08663148,4181374991.19613,6420932.082160219,2456943964.586444,0.19724567536140614,89.45495114497717
5,Ridge_0.1,251,0.9977584286055012,-8.665323315559029,53050338.96201834,3394217878.4181185,27970010.207679708,1870555057.1614466,0.7969891142109099,62.694133946622486
5,Lasso_0.1,251,0.9998000350826222,-13.668138252701262,15844873.608937068,4181374062.420969,6420934.496803513,2456943409.1502776,0.1972457155308759,89.45492359213713
5,Ridge_1,251,0.982740485585138,-2.468759581686348,147206220.27629963,2033380356.0510397,87521664.30899106,1140221550.3722832,2.5179860992609755,38.10736213300863
5,Lasso_1,251,0.999800135568054,-13.66912219803275,15840891.962898608,4181514304.2983985,6419342.418240702,2457013088.031436,0.19719884741001845,89.45719945761732
5,Ridge_10,251,0.948556571324938,0.36053264992512346,254142225.3544928,873053205.3699348,166128228.16071117,599189362.8893487,4.9990864309848115,19.995132261815627
5,Lasso_10,251,0.9998011372153163,-13.678946932217285,15801147.732866632,4182914367.2845097,6403447.193321428,2457708042.2110124,0.19673081832502315,89.47988748574873
5,Ridge_100,251,0.8832358480839954,0.7232405510978568,382883489.9976048,574358102.6205078,285356152.4143462,456410617.67818266,9.16321185020367,15.254591312145433
5,Lasso_100,251,0.9998110330772926,-13.777781132752533,15402980.677471798,4196972645.6279564,6244099.671534827,2464621364.55979,0.1920287330587629,89.70469402986718
